kanakanji,unicode,maxStrokeID,strokeDirections,positionDirections,charClass
圖,0x5716,14,dtdrrdrdtdtrrr,orodrstotodss,kanji
團,0x5718,14,dtrdrrrdrtrdtr,ottoddusrsrss,kanji
圜,0x571c,16,dtdrddrrdrrsrstr,otorrsstodrsrls,kanji
土,0x571f,3,rdr,ps,kanji
圣,0x5723,5,drrdr,ddps,kanji
圦,0x5726,5,rdrst,pdpu,kanji
圧,0x5727,5,rdrdr,odps,kanji
在,0x5728,6,rsdrdr,pstps,kanji
圭,0x572d,6,rdrrdr,pstps,kanji
地,0x5730,6,rdprdt,pdpps,kanji
圷,0x5737,6,rdprdt,pdprd,kanji
圸,0x5738,6,rdpdtd,pdpsr,kanji
圻,0x573b,7,rdpsdrd,pdpldr,kanji
址,0x5740,7,rdpdrdr,pdpdld,kanji
坂,0x5742,7,rdprddt,pdpodd,kanji
均,0x5747,7,odpslop,pdpddd,kanji
坊,0x574a,7,rdpdrds,pdpstu,kanji
坎,0x574e,7,rdpdrdt,pdpdtd,kanji
坏,0x574f,7,rdprsdt,pdprdr,kanji
坐,0x5750,7,ststdrr,drdqss,kanji
坑,0x5751,7,rdpdrdt,pdpsto,kanji
坡,0x5761,8,rdpdrddt,pdpopdd,kanji
坤,0x5764,8,rdrdtrrd,pdpoddu,kanji
坦,0x5766,8,rdpdtrrr,pdpodds,kanji
坩,0x5769,8,rdprddrr,pdpprsd,kanji
坪,0x576a,8,rdprtsrd,pdpdrsp,kanji
坿,0x577f,8,rdpsdrdt,pdpdrps,kanji
垂,0x5782,8,srrddrdr,ssprsps,kanji
垈,0x5788,8,sdrttrdr,drprsps,kanji
垉,0x5789,8,rdpsttrt,pdpdddu,kanji
型,0x578b,9,rrddddrdr,dprrrsps,kanji
垓,0x5793,9,rdrdrdsst,pdpsrrds,kanji
垠,0x57a0,9,rdptrrdst,pdpddutl,kanji
垢,0x57a2,9,rdpsdrdtr,pdpsddod,kanji
垣,0x57a3,9,rdprdtrrr,pdpdodds,kanji
垤,0x57a4,9,rdprttrdr,pdprtsps,kanji
垪,0x57aa,9,rdptsrrdd,pdprsdpr,kanji
垰,0x57b0,9,rdpdrrrdt,pdpdsdrt,kanji
垳,0x57b3,9,rdpssdrrd,pdpddpdr,kanji
埀,0x57c0,10,lrrdrstrdr,ldpsplsps,kanji
埃,0x57c3,10,rdpttsrrst,pdptsdspd,kanji
埆,0x57c6,10,rdpstdtdrr,pdpdsorsd,kanji
埋,0x57cb,10,rdpdtrrdrr,pdpoddpds,kanji
城,0x57ce,9,rdpdrdtst,pdpodutu,kanji
埒,0x57d2,10,rdplsttrdt,pdpsrrsrs,kanji
埓,0x57d3,10,rdpsttsrdt,pdpsprsps,kanji
埔,0x57d4,10,rdprdtrrdt,pdpdoddur,kanji
埖,0x57d6,10,rdprddsdst,pdpprsdrl,kanji
埜,0x57dc,11,rdstrdstrdr,pdorpdosps,kanji
域,0x57df,11,rdprdtrptst,pdpdoddutu,kanji
埠,0x57e0,11,rdpsdrrrrrd,pdpsodddsp,kanji
埣,0x57e3,11,rdpdrststrd,pdpstdpdsp,kanji
埴,0x57f4,11,rdprddtrrrt,pdppsodddq,kanji
埶,0x57f6,11,rdosrodrdpt,psrrspspdd,kanji
執,0x57f7,11,rdrtsrrddtt,pstrsdppsd,kanji
培,0x57f9,11,rdpdrtdrdtr,pdpstrstod,kanji
基,0x57fa,11,rddrrrstrdr,prsdsrrsps,kanji
埼,0x57fc,11,rdprstrdtrd,pdppdstodp,kanji
堀,0x5800,11,rdprrddrdrd,pdpdutsrsr,kanji
堂,0x5802,11,dtsdrdrrrdr,lrlotoddps,kanji
堅,0x5805,12,drdrrdrdtrdr,orsdrspdsps,kanji
堆,0x5806,11,rdpsddrdrrr,pdpdpsrsdd,kanji
堊,0x580a,11,rdrttrdrrdr,rsopdostps,kanji
堋,0x580b,11,rdpddrrddrr,pdpoddpodd,kanji
堕,0x5815,12,tddsrdtrrrdr,tqrstoddsps,kanji
堙,0x5819,12,rdprdtddrrdr,pdpdoprsdps,kanji
堝,0x581d,12,rdpdtdrdtdtr,pdpotosotod,kanji
堡,0x5821,12,sddrrrdstrdr,dpodsrdosps,kanji
堤,0x5824,12,rdpdtrrrdrst,pdpoddsrdld,kanji
堪,0x582a,12,rdprddrrrdtt,pdpprsdsrrl,kanji
堯,0x582f,12,rdrrdrrdrrst,psdpsppssrr,kanji
堰,0x5830,12,rdrrdtrrtsrt,pdptoddrtlu,kanji
報,0x5831,12,rdrtsrrdtddt,psrrsdppodt,kanji
場,0x5834,12,rdrdtrrrstss,pdpoddsrdtr,kanji
堵,0x5835,12,rdprdrstdtrr,pdppspssodd,kanji
堺,0x583a,12,rdpdtdrrstsd,pdporsdrosr,kanji
堽,0x583d,12,rdpdrddrrdrt,pdporrsdrdl,kanji
塀,0x5840,12,rdprrdtdrrdd,pdpdutrsdpr,kanji
塁,0x5841,12,dtdrrtrstrdr,orsdldpssps,kanji
塊,0x584a,13,rdpsdtdrrsttt,pdpsorsdtptt,kanji
塋,0x584b,13,tsdttsdtdrrdr,rldprldlotps,kanji
塑,0x5851,13,tsrrddddrrrdr,rstrlpoddsps,kanji
塒,0x5852,13,rdpddrrrdrrdt,pdpoddppddps,kanji
塔,0x5854,12,rdprddstrdtr,pdpprsosdod,kanji
塗,0x5857,13,ttpstrrdstrdr,sdposspsrsps,kanji
塘,0x5858,13,rdpdrdtrrddtr,pdpsotddpdod,kanji
塙,0x5859,13,rdpdrdrrdtdtr,pdpstodsotod,kanji
塚,0x585a,12,rdpdrrsdssst,pdpotrsttps,kanji
塞,0x585e,13,ddrrddrrstrdr,lotprssrrsps,kanji
塡,0x5861,13,rdplrdtrrrtst,pdpldodddqdr,kanji
塢,0x5862,13,rdpsdrrrtdddt,pdpsodddsrrr,kanji
塩,0x5869,13,rdpsrdrrdtddr,pdpddodsorrs,kanji
填,0x586b,13,rdprddtrrrrst,pdppsodddsrr,kanji
塰,0x5870,13,ttpsrtdotrrdr,ddpddordldps,kanji
塲,0x5872,14,rdpsrdtrrrstss,pdpddoddsrdtr,kanji
塵,0x5875,14,drdrddrrtsrrdr,sotprsturlsps,kanji
塹,0x5879,14,rdtrrrdsdrdrdr,doddsursdrsps,kanji
塾,0x587e,14,drdrrtdrdttrdr,stodstspsdsps,kanji
境,0x5883,14,rdpdrddrdtrrst,pdpstrstoddtr,kanji
墅,0x5885,14,dtrrdrrttrdrdr,oddpsdptsrsps,kanji
墓,0x5893,13,rdddrrrrstrdr,prsoddsrrsps,kanji
増,0x5897,14,rdptsdtdrrdtrr,pdprsorsddodd,kanji
墜,0x589c,15,tddtsrsdssstrdr,tqrrsrdotpssps,kanji
墟,0x589f,15,rdpdrdrrttddrdr,pdpdsotpdprsus,kanji
墨,0x58a8,14,dtrrdrrstttrdr,oddpssdrrrlps,kanji
墫,0x58ab,15,rdrstrdtdtrrrdt,pdprsdoprsdsrs,kanji
墮,0x58ae,15,tddrsrdrdtrrrdr,tqrpdrstoddsps,kanji
墳,0x58b3,15,rdprdrdddtrrrst,pdppsprsodddtr,kanji
墸,0x58b8,15,rdprddrdrstdtrr,pdpprspspssodd,kanji
墹,0x58b9,15,rdpdtrrddrrdtrr,pdpoddpoddsodd,kanji
墺,0x58ba,16,rdpsdtltsrdstrst,pdpsorsrspdosrd,kanji
墻,0x58bb,16,rdprdststrdtdtrr,pdppsdrdstotods,kanji
墾,0x58be,16,sttsdsstrrdstrdr,srrsddpddutlsps,kanji
壁,0x58c1,16,trddtrdrddrrdrdr,dudodpstrsdpsps,kanji
壅,0x58c5,16,drddssddrdrrrrdr,ltrdpdpsrsddsps,kanji
壇,0x58c7,16,rdpdrdtdrrrdtrrr,pdpstotodsdodds,kanji
壊,0x58ca,16,rdprddrddrdrstst,pdppsorrsrsrsrl,kanji
壌,0x58cc,16,rdpdrstrddrrsrst,pdpsrrsprssrdpl,kanji
壑,0x58d1,17,drdrrststdtrdtrdr,dsotdrlosodpdsps,kanji
壓,0x58d3,17,rddtrrdtrrrdttrdr,otodddoddppdusps,kanji
壕,0x58d5,17,rdpdrdrrdrrsdssst,pdpstodsotrdodps,kanji
壗,0x58d7,17,rdptrrrdstttdtddr,pdpstdpdrrrsorrs,kanji
壘,0x58d8,18,dtdrrdtdrrdtdrrrdr,orsdsorsdporsdsps,kanji
壙,0x58d9,18,rdpdrdrddrrdtdrrst,pdpsodprssdopsdtr,kanji
壜,0x58dc,19,rdpdtrrrdrdttttrrrt,pdpoddssopsdrdssrr,kanji
壞,0x58de,19,rdpdrdrddrdrrrrstst,udpstorrsrldrdsspl,kanji
壟,0x58df,19,drtsrdtrrrtrtrrrrdr,srrstoddpudodddsps,kanji
壤,0x58e4,20,rdpdrdtrdtrrddrrstst,pdpstodpodsprssrsrl,kanji
壥,0x58e5,20,rdprddttsrdrrdtttrdr,pdpotoorspssdrrrsps,kanji
士,0x58eb,3,rdr,ps,kanji
壬,0x58ec,4,lrdr,sps,kanji
壮,0x58ee,6,dtprdr,sdppd,kanji
壯,0x58ef,7,dtrdrdr,ldrppd,kanji
声,0x58f0,7,rdrrdrd,psdrsu,kanji
壱,0x58f1,7,rdrdrst,pssorl,kanji
売,0x58f2,7,rdrdrst,pssorr,kanji
