kanakanji,unicode,maxStrokeID,strokeDirections,positionDirections,charClass
峭,0x5ced,10,dtddstdtrr,srpsrsodd,kanji
峯,0x5cef,10,drdssrrrrd,lrsdsdddp,kanji
峰,0x5cf0,10,dtdsstrrrd,srpdsddsp,kanji
島,0x5cf6,10,sdtrrrtdrd,soddddrlr,kanji
峺,0x5cfa,10,dtdrdtrrdt,drudoddpd,kanji
峻,0x5cfb,10,dtdttstsst,srptsrsds,kanji
峽,0x5cfd,10,dtdrststdt,srptdpdqd,kanji
崇,0x5d07,11,drdddrrrdst,lrslotsrsr,kanji
崋,0x5d0b,10,drdrrddrrd,lrssprssp,kanji
崎,0x5d0e,11,dtdrstrdtrd,srppdsdodp,kanji
崑,0x5d11,11,drddtrrrtst,lrsoddsurl,kanji
崔,0x5d14,11,drdsdsrdrrr,lrsdpsrsdd,kanji
崕,0x5d15,11,dtdrdrdrrdr,srpodpsdps,kanji
崖,0x5d16,11,drdrdrdrrdr,lrsotpsdps,kanji
崗,0x5d17,11,drddttsrdrd,lrsorrsrsr,kanji
崘,0x5d18,11,dtdstrdtrdd,srpodsodpr,kanji
崙,0x5d19,11,drdstrdtrdd,lrsossodpr,kanji
崚,0x5d1a,11,dtdrdrstsst,srppsrrsds,kanji
崛,0x5d1b,11,dtdrrddtdrd,srudutsrsr,kanji
崟,0x5d1f,11,drdstrrdtsr,lrsosspsrl,kanji
崢,0x5d22,11,dtdlstttrrd,srpsrrsddp,kanji
崩,0x5d29,11,drdddrrddrr,lrsoddpodd,kanji
嵋,0x5d4b,12,dtdrdrddtrrr,srursudoddd,kanji
嵌,0x5d4c,12,drdrddrrsrst,lrsprsdpddd,kanji
嵎,0x5d4e,12,dtddtrrdtdrt,druoddsopdp,kanji
嵐,0x5d50,12,drddtldrrdrt,lrsorsodpsr,kanji
嵒,0x5d52,12,drrdtrdtrdrd,odsodpodslr,kanji
嵜,0x5d5c,12,drddrtsrdtrd,lrsstrltodp,kanji
嵩,0x5d69,13,drddrdrrdtdrr,lrslrodsotod,kanji
嵬,0x5d6c,13,drdsdtdrrsttt,lrssorsdrrrt,kanji
嵯,0x5d6f,13,dtdtsrdrrsrdr,srprsrsdrdrs,kanji
嵳,0x5d73,13,drdtsrdrrsrdr,lrlrlrssrtrs,kanji
嵶,0x5d76,13,dtdtrdsstrdss,srudottudott,kanji
嶂,0x5d82,14,dtddrtdrdtrrrd,srpsrrltoddsr,kanji
嶄,0x5d84,14,drdrdtrrrdsdrd,lrsdoddsursdr,kanji
嶇,0x5d87,14,dtdrdtrdtrdtrt,srutodsodpodq,kanji
嶋,0x5d8b,14,dtdsdtrrrtdttt,drpsodddddrrr,kanji
嶌,0x5d8c,14,drdsdtrrrrdttt,lrssoddddsrrr,kanji
嶐,0x5d90,15,drdtddsstrsrdrr,lrstqrdodddpss,kanji
嶝,0x5d9d,15,dtddtstsrdrrtdr,srpsrlrsdoddrs,kanji
嶢,0x5da2,15,dtdrdrrdrrdrrst,srppsdpdppssrr,kanji
嶬,0x5dac,16,dtdtsrdrrsrdrtst,srprsrssrspsptu,kanji
嶮,0x5dae,16,dtdstrdtrdtrstst,srpodsodpodldrd,kanji
嶷,0x5db7,17,drdsrsrrstttrdrst,lrslddspdptsrdqd,kanji
嶺,0x5dba,17,drdsttttrsdtrrrst,lrsodstprsodddtr,kanji
嶼,0x5dbc,16,dtdrddsdrrdrrrst,srpudusddpddsrr,kanji
嶽,0x5dbd,17,drdsdstrrrdtrrdtt,lrsltpstddodppdu,kanji
巉,0x5dc9,20,dtdstdrrrtsrstdrrstt,srpdsoddorlsdsodpdr,kanji
巌,0x5dcc,20,drdttsrdrdrdrrrddrst,lrsrrlotrsrddsppdrl,kanji
巍,0x5dcd,21,drdlrdsttsrsdtdrrsttt,lrsspdodrlpsorsdtprd,kanji
巒,0x5dd2,22,trrrdtrddtdstddtdstdrd,stddodqtdssrptdssrslr,kanji
巓,0x5dd3,22,drdlrdtrrrtstrddtrrrst,lrsldodddqdrursodddtr,kanji
巖,0x5dd6,23,drddtrdtrrdrdrdrrrddrst,lrlodpodlotrsoddsppdrl,kanji
巛,0x5ddb,3,ddd,rr,kanji
川,0x5ddd,3,ddd,rr,kanji
州,0x5dde,6,ddtdtd,ptptp,kanji
巡,0x5de1,6,dddtdr,rrldd,kanji
巣,0x5de3,11,ttsdtrrrdst,rrsoddspdo,kanji
工,0x5de5,3,rdr,rs,kanji
左,0x5de6,5,rsrdr,pdrs,kanji
巧,0x5de7,5,rdrrd,rspr,kanji
巨,0x5de8,5,drrrr,oddd,kanji
巫,0x5deb,7,rdststr,rsdrds,kanji
差,0x5dee,10,tsrdrrsrdr,rsrssrdrs,kanji
己,0x5df1,3,trt,do,kanji
已,0x5df2,3,trt,du,kanji
巳,0x5df3,3,trt,du,kanji
巴,0x5df4,4,tdrt,rsu,kanji
巵,0x5df5,7,ldrrdrt,ldtrsu,kanji
巷,0x5df7,9,rddrsttrt,prsrrsdu,kanji
巻,0x5dfb,9,tsrrstrrr,rsspdsdo,kanji
巽,0x5dfd,12,rrrrrrrddrst,dordosprsrr,kanji
巾,0x5dfe,3,dtd,op,kanji
市,0x5e02,5,drdtd,stop,kanji
布,0x5e03,5,srdtd,stop,kanji
帆,0x5e06,6,dtddtt,oprod,kanji
帋,0x5e0b,7,ltrtdtd,ldrsop,kanji
希,0x5e0c,7,srsrdtd,ltltop,kanji
帑,0x5e11,8,dsrdtdtd,tlrdsop,kanji
帖,0x5e16,8,dtddrdtr,oprdsod,kanji
帙,0x5e19,8,dtddrrdt,oprdspd,kanji
帚,0x5e1a,8,trrdrdtd,stsotop,kanji
帛,0x5e1b,8,sdtrrdtd,soddsop,kanji
帝,0x5e1d,9,drtddrdtd,srrlotop,kanji
帥,0x5e25,9,sdtrtrdtd,sddddpop,kanji
師,0x5e2b,10,sdtrtrrdtd,sodddpdop,kanji
席,0x5e2d,10,drdrddrdtd,sodprssop,kanji
帯,0x5e2f,10,rdddrdrdtd,prrssotop,kanji
帰,0x5e30,10,ddtrrdrdtd,prdddotop,kanji
帳,0x5e33,11,dtddrrrrtst,oproddsrrl,kanji
帶,0x5e36,11,rddrstdrdtd,prsqrsotop,kanji
帷,0x5e37,11,dtddddrdrrr,oprdpsrsdd,kanji
常,0x5e38,11,dtsdrdrrdrd,lrlotodsop,kanji
帽,0x5e3d,12,dtddtrrdtrrr,oprodddoddd,kanji
幀,0x5e40,12,dtddrdtrrrst,oprdsodddtr,kanji
幃,0x5e43,12,dtddrrdrrrrd,oursstoddop,kanji
幄,0x5e44,12,dtdrrdrttrdr,oprdudrrsps,kanji
幅,0x5e45,12,dtdrdrrdtdrr,oprdodsorsd,kanji
幇,0x5e47,12,rdrrdrrdtdrd,psdpsppssop,kanji
幌,0x5e4c,13,dtddtrrdtsrst,ouroddrlrsrr,kanji
幎,0x5e4e,13,dtddrdtrrdrst,ourotoddrsrr,kanji
幔,0x5e54,14,dtddtrrdrddrdt,oproddsorrsdd,kanji
幕,0x5e55,13,rdddrrrrstdtd,rrsoddsrrsop,kanji
幗,0x5e57,14,dtddtrdtrpdstr,oproddoddutus,kanji
幟,0x5e5f,15,dtddrddrdtrrdst,ourstrsdoddutu,kanji
幡,0x5e61,15,dtdltsrdstdtdrr,oprsrspdosorsd,kanji
幢,0x5e62,15,dtddrtdrdtrrdrr,oprsrrstoddpss,kanji
幣,0x5e63,15,dtsdtdstsrstdrd,srsorlrpdrssop,kanji
幤,0x5e64,15,dstdtdtrsrstdtd,srsotodpdrlsop,kanji
干,0x5e72,3,rrd,dp,kanji
平,0x5e73,5,rtsrd,drsp,kanji
年,0x5e74,6,srrdrd,dsosp,kanji
幵,0x5e75,6,rrdrrd,dprdp,kanji
并,0x5e76,6,tsrrdd,rsdpr,kanji
幸,0x5e78,8,rdrtsrrd,psrrltp,kanji
幹,0x5e79,13,rddtrrrdstrrd,psoddsppoddp,kanji
幺,0x5e7a,3,ddt,td,kanji
幻,0x5e7b,4,ddtd,tdp,kanji
幼,0x5e7c,5,ddtdd,tdpp,kanji
幽,0x5e7d,9,dddtddttd,stdptdlr,kanji
幾,0x5e7e,12,ddtddtrsttst,tdptdsrdutu,kanji
广,0x5e7f,3,drd,so,kanji
庁,0x5e81,5,drdrd,sotr,kanji
広,0x5e83,5,drdtt,sort,kanji
庄,0x5e84,6,drdrdr,sodps,kanji
庇,0x5e87,7,drdrdst,soturq,kanji
床,0x5e8a,7,drdrdst,sodpdo,kanji
序,0x5e8f,7,drdttrd,sottsr,kanji
底,0x5e95,8,drdstrtr,sorsdpd,kanji
庖,0x5e96,8,drdsttrt,srrdddu,kanji
店,0x5e97,8,drddrdtr,sordsod,kanji
庚,0x5e9a,8,drdtrrst,sotsdpd,kanji
府,0x5e9c,8,drdsdrdt,sordrps,kanji
庠,0x5ea0,9,drdtsrrrd,sorrsdsp,kanji
度,0x5ea6,9,drdrddrst,sotprssd,kanji
座,0x5ea7,10,drdststdrr,sotdrdqss,kanji
庫,0x5eab,10,drdrdtrrrd,sotdoddsp,kanji
庭,0x5ead,10,drdsrdrddt,sorspdqds,kanji
庵,0x5eb5,11,drdrstdtrrt,sotpdsoddu,kanji
庶,0x5eb6,11,drdrddrdddt,sodprssrrr,kanji
康,0x5eb7,11,drdtrrdtpst,srtstpsdps,kanji
庸,0x5eb8,11,drdrrrdtrrd,sotdtdoddu,kanji
廁,0x5ec1,12,drddtrrrstdd,sotoddddrur,kanji
廂,0x5ec2,12,drdrdstdtrrr,sodpddpoddd,kanji
廃,0x5ec3,12,drddtstsrrst,lotdrlrsspr,kanji
廈,0x5ec8,13,drdrsdtrrrsst,sotrsodddrdo,kanji
廉,0x5ec9,13,drdtsrrrrddst,lorrsdddprsr,kanji
廊,0x5eca,12,drddtrrtttdd,sorsddututq,kanji
廏,0x5ecf,14,drdddtrrstdtdt,sorsoddrlpodd,kanji
廐,0x5ed0,14,drdddtrrstrtdt,srrsoddrlptrd,kanji
廓,0x5ed3,14,drddrdrrtdrtdd,lorstodstsptq,kanji
廖,0x5ed6,14,drdtsstssstsss,sotrtprtsodtt,kanji
廚,0x5eda,15,drdrdrdtrtdrrdt,sodpsdodsrspps,kanji
廛,0x5edb,15,drddrrrdrrstrdr,loroddpssrrsps,kanji
廝,0x5edd,15,drdrddrrrstsdrd,lrdprsdsrrpsdr,kanji
廟,0x5edf,15,drdrddtrrrdddtt,sodpsoddsppotd,kanji
廠,0x5ee0,15,drddtsdtdtrdrst,sorsrsotodpdrs,kanji
廡,0x5ee1,15,drdsrrddddrddtt,srrdsprrrsdrrr,kanji
廢,0x5ee2,15,drddtststrddrdt,sotdrlrldopodd,kanji
廣,0x5ee3,15,drdrddrrdtdrrst,sotprsstopsdtr,kanji
廨,0x5ee8,16,drdsddddrrtsdrrd,sordsorsdprsdsp,kanji
廩,0x5ee9,16,drddrdrdrrrlrdst,lrrltorodsrlrdo,kanji
廬,0x5eec,19,drddrdrrtdrdrrdrddr,srrdsodpsorsdsorrl,kanji
廰,0x5ef0,20,drdrdrrrdrddrddrdtrt,sododddurpsorrsdprr,kanji
廱,0x5ef1,21,drdddddrrtdrtsddrdrrr,srrrrsodsrsupdpsrsdd,kanji
廳,0x5ef3,25,drdrdrrrdrdrrrddrddrrdtot,sododdspsrsdppsorrsddprr,kanji
廴,0x5ef4,3,ddt,dd,kanji
延,0x5ef6,8,sdrdrddt,sdldqds,kanji
廷,0x5ef7,7,srdrddt,spsqds,kanji
廸,0x5ef8,8,dtdrrtdt,opddqts,kanji
建,0x5efa,9,trrrrdtdr,stdsults,kanji
廻,0x5efb,9,dtdtrrddt,otodsqds,kanji
廼,0x5efc,9,rdtdtrddt,doprsqdd,kanji
廾,0x5efe,3,rdd,pr,kanji
廿,0x5eff,4,rddr,prs,kanji
弁,0x5f01,5,ttrdd,tspr,kanji
弃,0x5f03,7,drttrsd,srrspr,kanji
弄,0x5f04,7,rdrrrsd,rssdpr,kanji
弉,0x5f09,10,dtrsrdrrsd,ldrppdsrr,kanji
弊,0x5f0a,15,dtsdtddtsrstrsd,lrsorsrpdrlspr,kanji
弋,0x5f0b,3,rtt,pr,kanji
弌,0x5f0c,4,rrtt,dpr,kanji
弍,0x5f0d,5,rrrtt,ddpr,kanji
式,0x5f0f,6,rrdrtt,drspr,kanji
弐,0x5f10,6,rrrrtt,dddpr,kanji
弑,0x5f11,12,strdstrrdrdt,ldpddpdrsur,kanji
弓,0x5f13,3,rrd,do,kanji
弔,0x5f14,4,rrtd,dop,kanji
引,0x5f15,4,trdd,dor,kanji
弖,0x5f16,4,trdr,dod,kanji
弗,0x5f17,5,rrtdd,dopr,kanji
弘,0x5f18,5,trddt,dord,kanji
弛,0x5f1b,6,trdrdt,dotps,kanji
弟,0x5f1f,7,tsrrtds,rsdopd,kanji
弥,0x5f25,8,trdsrddd,dopdrsr,kanji
弦,0x5f26,8,trddrddt,dopsrtd,kanji
弧,0x5f27,9,trdsddrtd,dorsrdpu,kanji
弩,0x5f29,8,dsrdtrrt,tlrdsdo,kanji
弭,0x5f2d,9,trdrdrrpd,doprdddp,kanji
弯,0x5f2f,9,drsdstrrt,lrrlrsdo,kanji
弱,0x5f31,10,trdtptrdtp,doddpdodd,kanji
張,0x5f35,11,trddrrrrtst,dopoddsrrl,kanji
強,0x5f37,11,trdttdrrdrt,doptsodudr,kanji
弸,0x5f38,11,trdddrrddrr,dopoddpodd,kanji
弼,0x5f3c,12,trdrddtrrtrd,doprsoddpdo,kanji
弾,0x5f3e,12,trdttsdtrrrd,doprrsoddsp,kanji
彁,0x5f41,13,trdrdtrdrdtrd,doptodpstodp,kanji
彈,0x5f48,15,trddtrdtrdtrrrd,dopodpodsoddsp,kanji
彊,0x5f4a,16,trdrdtdrrrdtdrrr,dopdorsdstorsds,kanji
彌,0x5f4c,17,trdrstdtdstststst,doprrsopdstspsts,kanji
彎,0x5f4e,22,trrrdtrddtdstddtdstrrt,stddodqtdssrprdssrldo,kanji
彐,0x5f50,3,trr,st,kanji
彑,0x5f51,3,tdr,ds,kanji
当,0x5f53,6,dtstrr,lrsdd,kanji
彖,0x5f56,9,ttrsdssst,osrsdtps,kanji
彗,0x5f57,11,rrrdrrrdtrr,ddurddpsst,kanji
彙,0x5f59,13,ttrdrdtrrrdst,dstotoddspdo,kanji
彜,0x5f5c,16,rtrtsrdststtsrsd,ostrspdoprsrsrr,kanji
彝,0x5f5d,18,ttrtsrdstdttdstrsd,ostrlpdoprdslrlrr,kanji
彡,0x5f61,3,sss,dd,kanji
形,0x5f62,7,rrddsss,dpprdd,kanji
彦,0x5f66,9,drtdrdsss,strstrdt,kanji
彩,0x5f69,11,sttsrdstsss,srrspdopdd,kanji
彪,0x5f6a,11,drdrrtdrsss,dsodpdrpdd,kanji
彫,0x5f6b,11,ddrdrdtrsss,otpsdodpdd,kanji
彬,0x5f6c,11,rdstrdstsss,pddppddpdd,kanji
彭,0x5f6d,12,rdrdrrtdrsss,psdoddrspdd,kanji
彰,0x5f70,14,drtdrdtrrrdsss,strstoddsppdd,kanji
影,0x5f71,15,dtrrdrdrrdstsss,oddrstodrlrpdd,kanji
彳,0x5f73,3,ssd,ds,kanji
彷,0x5f77,7,ssddrds,ddpsru,kanji
役,0x5f79,7,ssddrdt,ddpodd,kanji
彼,0x5f7c,8,ssddrddt,ddpopdd,kanji
彿,0x5f7f,8,ssdrrtdd,dspdour,kanji
往,0x5f80,8,ssdtrdrr,dspsrss,kanji
征,0x5f81,8,ssdrdrdr,dsprdld,kanji
徂,0x5f82,8,ssddtrrr,dspodds,kanji
徃,0x5f83,8,ssdsrdrr,dspdpdd,kanji
径,0x5f84,8,ssddtrdr,ddpddps,kanji
待,0x5f85,9,ssdrdrrdt,dsppsdrs,kanji
徇,0x5f87,9,ssdsddtrr,dspddodd,kanji
很,0x5f88,9,ssdtrrdst,dspddutl,kanji
徊,0x5f8a,9,ssddtdtrr,dspotods,kanji
律,0x5f8b,9,ssdtrrrrd,ddpstdsu,kanji
後,0x5f8c,9,ssdddtsst,dsptdsds,kanji
徐,0x5f90,10,ssdstrrdst,dsposdpsr,kanji
徑,0x5f91,10,ssdrdddrdr,dsptrrsrs,kanji
徒,0x5f92,10,ssdrdrdrst,ddppsrdld,kanji
従,0x5f93,10,ssdtdrdrst,dsprsrdld,kanji
得,0x5f97,11,ssddtrrrrdt,dspoddsdrs,kanji
徘,0x5f98,11,ssddrrpdrrr,ddpsddpddd,kanji
徙,0x5f99,11,ssddrdrdrdt,dspdldrdld,kanji
從,0x5f9e,11,ssdststdrdt,dspdpdsdld,kanji
徠,0x5fa0,11,ssdrststdst,dsptdpdqdo,kanji
御,0x5fa1,12,ssdsrrdrdrdd,ddpdspdldpo,kanji
徨,0x5fa8,12,ssdsdtrrrdrr,dspsoddsrss,kanji
復,0x5fa9,12,ssdsrdtrrsst,ddpddodddos,kanji
循,0x5faa,12,ssdsdrddtrrr,ddpldpsoddd,kanji
徭,0x5fad,13,ssdssttsrrdrd,dspddstdspsr,kanji
微,0x5fae,13,ssddrdrdtdrst,ddpsrsrrpdrs,kanji
徳,0x5fb3,14,ssdrddtddrdrrt,ddppsorrsdprr,kanji
徴,0x5fb4,14,ssddrdrdrrdrst,ddpsrsrsdpdrs,kanji
徹,0x5fb9,15,ssddrttddrrdrdt,dspsrtsoddpdrs,kanji
徼,0x5fbc,16,ssdddtrrdrdsdrst,dspsoddtsropdrs,kanji
徽,0x5fbd,17,ssddrdrddtdstdrst,ddpsrsrtdssrudrs,kanji
心,0x5fc3,4,drtt,rpr,kanji
忄,0x5fc4,3,ddd,rq,kanji
必,0x5fc5,5,tstdt,rssr,kanji
忌,0x5fcc,7,rrrdrrt,dodprr,kanji
忍,0x5fcd,7,tstdrtt,rsdrrr,kanji
忖,0x5fd6,6,dtdrdt,rutps,kanji
志,0x5fd7,7,rdrdrtt,psdrrr,kanji
忘,0x5fd8,7,drrdrtt,srdrrr,kanji
忙,0x5fd9,6,dtddrt,pursr,kanji
応,0x5fdc,7,drddttt,sodprr,kanji
忝,0x5fdd,8,lrstdsdt,spddsrr,kanji
忠,0x5fe0,8,drrddrtt,odpsrrr,kanji
忤,0x5fe4,7,dtddrrd,purdsp,kanji
快,0x5feb,7,dtdtrdt,rutspd,kanji
忰,0x5ff0,7,dtdsrrd,rursdp,kanji
忱,0x5ff1,7,dtddrdt,putopd,kanji
念,0x5ff5,8,strtdrtt,odsdrrr,kanji
忸,0x5ff8,7,dtdtdrr,putrsd,kanji
忻,0x5ffb,7,dtdsdrd,rqrsdr,kanji
忽,0x5ffd,8,stsssrrt,drrsprr,kanji
忿,0x5fff,8,sttssrrt,rsrsrrr,kanji
怎,0x600e,9,srdrrstrt,drddsprr,kanji
怏,0x600f,8,ddddtrdt,rqtodpd,kanji
怐,0x6010,8,dtdsddtr,purddod,kanji
怒,0x6012,9,dsrdtdrtt,tlrdsprr,kanji
怕,0x6015,8,dtdsdtrr,rursodd,kanji
怖,0x6016,8,dtdsrdtd,rurstop,kanji
怙,0x6019,8,dtdrddtr,putpdod,kanji
怛,0x601b,8,dtddtrrr,rqrodds,kanji
怜,0x601c,8,dtdstttt,rurodst,kanji
思,0x601d,9,dtdrrdrtt,orsdsprr,kanji
怠,0x6020,9,ttdrrsrrt,tsodsrrr,kanji
怡,0x6021,8,dtdttdtr,rqrtsod,kanji
急,0x6025,9,sttrrdrrt,dsdddrrr,kanji
怦,0x6026,8,dtdrstrd,rqrtrsp,kanji
性,0x6027,8,dtdsrdrr,putdpds,kanji
怨,0x6028,9,sstttdrrt,dsposrrr,kanji
怩,0x6029,8,dtdrrdst,rqrdutl,kanji
怪,0x602a,8,dtddtrdr,purddps,kanji
怫,0x602b,8,dddrrtdd,rqtdour,kanji
怯,0x602f,8,dtdrdrtt,rutpsrt,kanji
怱,0x6031,9,stsststrt,drrldprr,kanji
怺,0x603a,8,dtdtddst,purddrs,kanji
恁,0x6041,10,sdlrdrdrrt,srspssprr,kanji
恂,0x6042,9,dtdsddtrr,pqrddodd,kanji
恃,0x6043,9,dtdrdrrdt,pqtpsdrs,kanji
恆,0x6046,9,dtdrddttr,rurrdtds,kanji
恊,0x604a,9,dtdtstdts,putpsptp,kanji
恋,0x604b,10,drsdstdrrt,lrrlrsrrr,kanji
恍,0x604d,9,dtddtsrst,rqrsrsrr,kanji
恐,0x6050,10,rdpdttsrtt,rspodsprr,kanji
恒,0x6052,9,dtdrdtrrr,puttodds,kanji
恕,0x6055,10,dsrdtrdrtt,tlrodsrrr,kanji
恙,0x6059,10,tsrdrrdrrt,rsrssdrrr,kanji
恚,0x605a,10,rdrrdrsrrt,pstpsdprr,kanji
恟,0x605f,9,dtdststtd,rurdtslr,kanji
恠,0x6060,9,dtdrsdrdr,rutpdtpd,kanji
恢,0x6062,9,dtdrddsdt,putpdrqd,kanji
恣,0x6063,10,rpdrstdrrt,dpdtdsprr,kanji
恤,0x6064,9,dtdsdtddr,rursorrs,kanji
恥,0x6065,10,rdrrrddttt,rddspdprr,kanji
恨,0x6068,9,dtdtrrdst,rurddutl,kanji
恩,0x6069,10,dtrstrdrtt,odpdssprr,kanji
恪,0x606a,9,dtdsstdtr,purdsdod,kanji
恫,0x606b,9,dtddtrdtr,rurotdod,kanji
恬,0x606c,9,dtdsrddtr,rqrspsod,kanji
恭,0x606d,10,rddrstdsdt,prsrrssrr,kanji
息,0x606f,10,sdtrrrsrtt,sodddsrrr,kanji
恰,0x6070,9,dtdstrdtr,ruroddod,kanji
恵,0x6075,10,rdtrrdsrrt,doddusrrr,kanji
恷,0x6077,10,sdrdstsrrt,drpdosprr,kanji
悁,0x6081,10,dtddtrdtrr,rqrodsodd,kanji
悃,0x6083,10,ddddtrdstr,rqrodpdos,kanji
悄,0x6084,10,dtddstdtrr,pursrsodd,kanji
悉,0x6089,11,ltsrdstdrrt,lrlpdosrrr,kanji
悋,0x608b,10,dtddrstdtr,rqrsrldod,kanji
悌,0x608c,10,dtdtsrrtds,purrsdopd,kanji
悍,0x608d,10,dtddtrrrrd,rqroddssp,kanji
悒,0x6092,10,dtddtrtdrt,rqrodsrsu,kanji
悔,0x6094,9,dtdsrtddr,rurddors,kanji
悖,0x6096,10,dtdrddrtdr,rqrpsotts,kanji
悗,0x6097,10,dtdstdtrst,purddodpd,kanji
悚,0x609a,10,dtdrdrrdst,rutdodudo,kanji
悛,0x609b,10,dtdttstsst,rqrtsrsds,kanji
悟,0x609f,10,dddrdtrdtr,rqrrsstod,kanji
悠,0x60a0,11,sddsrstdrrt,sppdrssprr,kanji
患,0x60a3,11,drrdrrddrrt,oddodusrrr,kanji
悦,0x60a6,10,dtdtsdtrst,rurrsodrr,kanji
悧,0x60a7,10,dtdsrdstdd,purspdopp,kanji
悩,0x60a9,10,dtdttssttd,purrrdllr,kanji
悪,0x60aa,11,rdrrddrdrtt,dodursdprr,kanji
悲,0x60b2,12,drrrdrrrdrtt,sddpdddsrrr,kanji
悳,0x60b3,12,rddtrrrtdrrt,rsodddqdrrr,kanji
悴,0x60b4,11,dtddrststrd,rqrstdpdsr,kanji
悵,0x60b5,11,ddddrrrrtst,rqroddsrrl,kanji
悶,0x60b6,12,dtrrddrrdtrt,oddpoddsprr,kanji
悸,0x60b8,11,dtdlrdsttdr,rqrsrdostl,kanji
悼,0x60bc,11,dtddrdtrrrd,rqrdsoddsp,kanji
悽,0x60bd,11,dtdrtrrdtsr,putdstudtl,kanji
情,0x60c5,11,dtdrdrrdtrr,purpsstodd,kanji
惆,0x60c6,11,dtddtrrddtr,rurotdpdod,kanji
惇,0x60c7,11,dtddrdrrtdr,rurstodstl,kanji
惑,0x60d1,12,rdrrrtstsrrt,todsptqsrrr,kanji
惓,0x60d3,11,dtdstrrsttt,rqrrsspdso,kanji
惘,0x60d8,11,ddddttsrdrt,rqrotrsrsr,kanji
惚,0x60da,11,dtdstssdrrt,rurdtrsprr,kanji
惜,0x60dc,11,dtdrddrdtrr,rqtprstodd,kanji
惟,0x60df,11,dtdsdsrdrrr,rurdpsrsdd,kanji
惠,0x60e0,12,rdtrrdrtdrrt,toddusrlrrr,kanji
惡,0x60e1,12,rdrttrdrsrrt,rsordosdprr,kanji
惣,0x60e3,12,srdrsdssdrrt,dpspdorsrrr,kanji
惧,0x60e7,11,dtddtrrrrst,rqrodddsrr,kanji
惨,0x60e8,11,dtdttrstsss,purtsptdtt,kanji
惰,0x60f0,12,dtdrsrdrdtrr,rutpdrstodd,kanji
惱,0x60f1,12,ddddddsdtstr,rqrrrssorld,kanji
想,0x60f3,13,rdstdtrrrdrtt,pdtpodddsrrr,kanji
惴,0x60f4,12,dtddrdrsdtdd,rqrsrsrsorr,kanji
惶,0x60f6,12,dtdsdtrrrdrr,rqrsoddsrss,kanji
惷,0x60f7,13,rrrstdtrrdrrt,tspdsoddsprr,kanji
惹,0x60f9,12,rddsrdrrdrrt,prslrodsprr,kanji
惺,0x60fa,12,dtddtrrsrdrr,ruroddsdpss,kanji
惻,0x60fb,12,dddddrrrstdd,rqrodddtrup,kanji
愀,0x6100,12,dtdsrdstdsdt,rurspddprqd,kanji
愁,0x6101,13,srdstdsdtdrrt,spdtprqdsrrr,kanji
愃,0x6103,12,dtdddrrdtrrr,rursotdodds,kanji
愆,0x6106,13,ssdttprrdsrrt,tspddpdrsprr,kanji
愈,0x6108,13,stodttottdrrt,qdsotdprsrrr,kanji
愉,0x6109,12,dtdstrddrrdd,purossoddpr,kanji
愍,0x610d,13,rrdrtsrstdrrt,dudppdrlsprr,kanji
愎,0x610e,12,dtdsrdtrrsst,rqrddodddds,kanji
意,0x610f,13,drtdrdtrrsrrt,srrltoddsrrr,kanji
愕,0x6115,12,dtddtrdtrrrd,rqrodpodssr,kanji
愚,0x611a,13,dtrrdrdrtdrtt,oddsopdpsrrr,kanji
愛,0x611b,13,sttsdrdrttsst,srrlotrrrsds,kanji
感,0x611f,13,drrdtrtstsrtt,oddodutusrrr,kanji
愡,0x6121,12,dddstsstdrrt,rurdrrsdrrr,kanji
愧,0x6127,13,dtdsdtdrrsttt,rqrsorsdrrtd,kanji
愨,0x6128,14,rdrdrrdrdtdrrt,pssodpoddsrrr,kanji
愬,0x612c,14,tsrrddddrrsrrt,rstrlpoddsprr,kanji
愴,0x6134,13,dtdstrtrrddtr,rqrodsddudod,kanji
愼,0x613c,13,dtdlrdtrrrtst,purldodddqdr,kanji
愽,0x613d,13,dtdrdtrrdtrdt,rqtdoddursrs,kanji
愾,0x613e,13,dtdsrrttsrdst,rurddsdrspdd,kanji
愿,0x613f,14,rdsdtrrdstdrrt,orsoddrsrsrrr,kanji
慂,0x6142,14,ttpttdtrrddrrt,ddptsoddpsrrr,kanji
慄,0x6144,13,dtdrdrddrrdst,rurdoprsspdo,kanji
慇,0x6147,14,sdtrrtdrdtdrrt,sodddpoddsrrr,kanji
慈,0x6148,13,tsrddtddtdrrt,rltrdprdsrrr,kanji
慊,0x614a,13,dtdssrrrrddst,rurrsdsturdr,kanji
態,0x614b,14,ttdtrrstltdrtt,tsoddpltlsrrr,kanji
慌,0x614c,12,dtdrdddrrddt,putprssrdrr,kanji
慍,0x614d,13,dtddtstrdtddr,rqrordssorrs,kanji
慎,0x614e,13,dtdrddtrrrrst,rurpsodddsrr,kanji
慓,0x6153,14,dtdrdrddrrrdst,rqrdoprsdsrsr,kanji
慕,0x6155,14,rdddtrrrstdstt,prsoddsrtssrr,kanji
慘,0x6158,14,dtdttttttstsss,purtsdrtlodtt,kanji
慙,0x6159,15,rdtrrrdsdrddrrt,doddsursdrsrrr,kanji
慚,0x615a,14,dtdrdtrrrdsdrd,rutdoddsursdr,kanji
慝,0x615d,14,rrddsrdtrtdrrt,tprsltodqdrrr,kanji
