kana,unicode,svgFile,pngFile,strokeCount
ぁ,0x3041,03041.svg,03041.png,3
あ,0x3042,03042.svg,03042.png,3
ぃ,0x3043,03043.svg,03043.png,2
い,0x3044,03044.svg,03044.png,2
ぅ,0x3045,03045.svg,03045.png,2
う,0x3046,03046.svg,03046.png,2
ぇ,0x3047,03047.svg,03047.png,2
え,0x3048,03048.svg,03048.png,2
ぉ,0x3049,03049.svg,03049.png,3
お,0x304a,0304a.svg,0304a.png,3
か,0x304b,0304b.svg,0304b.png,3
が,0x304c,0304c.svg,0304c.png,5
き,0x304d,0304d.svg,0304d.png,4
ぎ,0x304e,0304e.svg,0304e.png,6
く,0x304f,0304f.svg,0304f.png,1
ぐ,0x3050,03050.svg,03050.png,3
け,0x3051,03051.svg,03051.png,3
げ,0x3052,03052.svg,03052.png,5
こ,0x3053,03053.svg,03053.png,2
ご,0x3054,03054.svg,03054.png,4
さ,0x3055,03055.svg,03055.png,3
ざ,0x3056,03056.svg,03056.png,5
し,0x3057,03057.svg,03057.png,1
じ,0x3058,03058.svg,03058.png,3
す,0x3059,03059.svg,03059.png,2
ず,0x305a,0305a.svg,0305a.png,4
せ,0x305b,0305b.svg,0305b.png,3
ぜ,0x305c,0305c.svg,0305c.png,5
そ,0x305d,0305d.svg,0305d.png,1
ぞ,0x305e,0305e.svg,0305e.png,3
た,0x305f,0305f.svg,0305f.png,4
だ,0x3060,03060.svg,03060.png,6
ち,0x3061,03061.svg,03061.png,2
ぢ,0x3062,03062.svg,03062.png,4
っ,0x3063,03063.svg,03063.png,1
つ,0x3064,03064.svg,03064.png,1
づ,0x3065,03065.svg,03065.png,3
て,0x3066,03066.svg,03066.png,1
で,0x3067,03067.svg,03067.png,3
と,0x3068,03068.svg,03068.png,2
ど,0x3069,03069.svg,03069.png,4
な,0x306a,0306a.svg,0306a.png,4
に,0x306b,0306b.svg,0306b.png,3
ぬ,0x306c,0306c.svg,0306c.png,2
ね,0x306d,0306d.svg,0306d.png,2
の,0x306e,0306e.svg,0306e.png,1
は,0x306f,0306f.svg,0306f.png,3
ば,0x3070,03070.svg,03070.png,5
ぱ,0x3071,03071.svg,03071.png,4
ひ,0x3072,03072.svg,03072.png,1
び,0x3073,03073.svg,03073.png,3
ぴ,0x3074,03074.svg,03074.png,2
ふ,0x3075,03075.svg,03075.png,4
ぶ,0x3076,03076.svg,03076.png,6
ぷ,0x3077,03077.svg,03077.png,5
へ,0x3078,03078.svg,03078.png,1
べ,0x3079,03079.svg,03079.png,3
ぺ,0x307a,0307a.svg,0307a.png,2
ほ,0x307b,0307b.svg,0307b.png,4
ぼ,0x307c,0307c.svg,0307c.png,6
ぽ,0x307d,0307d.svg,0307d.png,5
ま,0x307e,0307e.svg,0307e.png,3
み,0x307f,0307f.svg,0307f.png,2
む,0x3080,03080.svg,03080.png,3
め,0x3081,03081.svg,03081.png,2
も,0x3082,03082.svg,03082.png,3
ゃ,0x3083,03083.svg,03083.png,3
や,0x3084,03084.svg,03084.png,3
ゅ,0x3085,03085.svg,03085.png,2
ゆ,0x3086,03086.svg,03086.png,2
ょ,0x3087,03087.svg,03087.png,2
よ,0x3088,03088.svg,03088.png,2
ら,0x3089,03089.svg,03089.png,2
り,0x308a,0308a.svg,0308a.png,2
る,0x308b,0308b.svg,0308b.png,1
れ,0x308c,0308c.svg,0308c.png,2
ろ,0x308d,0308d.svg,0308d.png,1
ゎ,0x308e,0308e.svg,0308e.png,2
わ,0x308f,0308f.svg,0308f.png,2
ゐ,0x3090,03090.svg,03090.png,1
ゑ,0x3091,03091.svg,03091.png,1
を,0x3092,03092.svg,03092.png,3
ん,0x3093,03093.svg,03093.png,1
ゔ,0x3094,03094.svg,03094.png,4
ゕ,0x3095,03095.svg,03095.png,3
ゖ,0x3096,03096.svg,03096.png,3
゛,0x309b,0309b.svg,0309b.png,2
゜,0x309c,0309c.svg,0309c.png,1
ゝ,0x309d,0309d.svg,0309d.png,1
ゞ,0x309e,0309e.svg,0309e.png,3
ァ,0x30a1,030a1.svg,030a1.png,2
ア,0x30a2,030a2.svg,030a2.png,2
ィ,0x30a3,030a3.svg,030a3.png,2
イ,0x30a4,030a4.svg,030a4.png,2
ゥ,0x30a5,030a5.svg,030a5.png,3
ウ,0x30a6,030a6.svg,030a6.png,3
ェ,0x30a7,030a7.svg,030a7.png,3
エ,0x30a8,030a8.svg,030a8.png,3
ォ,0x30a9,030a9.svg,030a9.png,3
オ,0x30aa,030aa.svg,030aa.png,3
カ,0x30ab,030ab.svg,030ab.png,2
ガ,0x30ac,030ac.svg,030ac.png,4
キ,0x30ad,030ad.svg,030ad.png,3
ギ,0x30ae,030ae.svg,030ae.png,5
ク,0x30af,030af.svg,030af.png,2
グ,0x30b0,030b0.svg,030b0.png,4
ケ,0x30b1,030b1.svg,030b1.png,3
ゲ,0x30b2,030b2.svg,030b2.png,5
コ,0x30b3,030b3.svg,030b3.png,2
ゴ,0x30b4,030b4.svg,030b4.png,4
サ,0x30b5,030b5.svg,030b5.png,3
ザ,0x30b6,030b6.svg,030b6.png,5
シ,0x30b7,030b7.svg,030b7.png,3
ジ,0x30b8,030b8.svg,030b8.png,5
ス,0x30b9,030b9.svg,030b9.png,2
ズ,0x30ba,030ba.svg,030ba.png,4
セ,0x30bb,030bb.svg,030bb.png,2
ゼ,0x30bc,030bc.svg,030bc.png,4
ソ,0x30bd,030bd.svg,030bd.png,2
ゾ,0x30be,030be.svg,030be.png,4
タ,0x30bf,030bf.svg,030bf.png,3
ダ,0x30c0,030c0.svg,030c0.png,5
チ,0x30c1,030c1.svg,030c1.png,3
ヂ,0x30c2,030c2.svg,030c2.png,5
ッ,0x30c3,030c3.svg,030c3.png,3
ツ,0x30c4,030c4.svg,030c4.png,3
ヅ,0x30c5,030c5.svg,030c5.png,5
テ,0x30c6,030c6.svg,030c6.png,3
デ,0x30c7,030c7.svg,030c7.png,5
ト,0x30c8,030c8.svg,030c8.png,2
ド,0x30c9,030c9.svg,030c9.png,4
ナ,0x30ca,030ca.svg,030ca.png,2
ニ,0x30cb,030cb.svg,030cb.png,2
ヌ,0x30cc,030cc.svg,030cc.png,2
ネ,0x30cd,030cd.svg,030cd.png,4
ノ,0x30ce,030ce.svg,030ce.png,1
ハ,0x30cf,030cf.svg,030cf.png,2
バ,0x30d0,030d0.svg,030d0.png,4
パ,0x30d1,030d1.svg,030d1.png,3
ヒ,0x30d2,030d2.svg,030d2.png,2
ビ,0x30d3,030d3.svg,030d3.png,4
ピ,0x30d4,030d4.svg,030d4.png,3
フ,0x30d5,030d5.svg,030d5.png,1
ブ,0x30d6,030d6.svg,030d6.png,3
プ,0x30d7,030d7.svg,030d7.png,2
ヘ,0x30d8,030d8.svg,030d8.png,1
ベ,0x30d9,030d9.svg,030d9.png,3
ペ,0x30da,030da.svg,030da.png,2
ホ,0x30db,030db.svg,030db.png,4
ボ,0x30dc,030dc.svg,030dc.png,6
ポ,0x30dd,030dd.svg,030dd.png,5
マ,0x30de,030de.svg,030de.png,2
ミ,0x30df,030df.svg,030df.png,3
ム,0x30e0,030e0.svg,030e0.png,2
メ,0x30e1,030e1.svg,030e1.png,2
モ,0x30e2,030e2.svg,030e2.png,3
ャ,0x30e3,030e3.svg,030e3.png,2
ヤ,0x30e4,030e4.svg,030e4.png,2
ュ,0x30e5,030e5.svg,030e5.png,2
ユ,0x30e6,030e6.svg,030e6.png,2
ョ,0x30e7,030e7.svg,030e7.png,3
ヨ,0x30e8,030e8.svg,030e8.png,3
ラ,0x30e9,030e9.svg,030e9.png,2
リ,0x30ea,030ea.svg,030ea.png,2
ル,0x30eb,030eb.svg,030eb.png,2
レ,0x30ec,030ec.svg,030ec.png,1
ロ,0x30ed,030ed.svg,030ed.png,3
ヮ,0x30ee,030ee.svg,030ee.png,2
ワ,0x30ef,030ef.svg,030ef.png,2
ヰ,0x30f0,030f0.svg,030f0.png,4
ヱ,0x30f1,030f1.svg,030f1.png,3
ヲ,0x30f2,030f2.svg,030f2.png,3
ン,0x30f3,030f3.svg,030f3.png,2
ヴ,0x30f4,030f4.svg,030f4.png,5
ヵ,0x30f5,030f5.svg,030f5.png,2
ヶ,0x30f6,030f6.svg,030f6.png,3
ヷ,0x30f7,030f7.svg,030f7.png,4
ヸ,0x30f8,030f8.svg,030f8.png,6
ヹ,0x30f9,030f9.svg,030f9.png,5
ヺ,0x30fa,030fa.svg,030fa.png,5
・,0x30fb,030fb.svg,030fb.png,1
ー,0x30fc,030fc.svg,030fc.png,1
ヽ,0x30fd,030fd.svg,030fd.png,1
ヾ,0x30fe,030fe.svg,030fe.png,3
㐬,0x342c,0342c.svg,0342c.png,7
㓁,0x34c1,034c1.svg,034c1.png,4
㔾,0x353e,0353e.svg,0353e.png,2
一,0x4e00,04e00.svg,04e00.png,1
丁,0x4e01,04e01.svg,04e01.png,2
七,0x4e03,04e03.svg,04e03.png,2
万,0x4e07,04e07.svg,04e07.png,3
丈,0x4e08,04e08.svg,04e08.png,3
三,0x4e09,04e09.svg,04e09.png,3
上,0x4e0a,04e0a.svg,04e0a.png,3
下,0x4e0b,04e0b.svg,04e0b.png,3
不,0x4e0d,04e0d.svg,04e0d.png,4
与,0x4e0e,04e0e.svg,04e0e.png,3
丐,0x4e10,04e10.svg,04e10.png,4
丑,0x4e11,04e11.svg,04e11.png,4
且,0x4e14,04e14.svg,04e14.png,5
丕,0x4e15,04e15.svg,04e15.png,5
世,0x4e16,04e16.svg,04e16.png,5
丗,0x4e17,04e17.svg,04e17.png,5
丘,0x4e18,04e18.svg,04e18.png,5
丙,0x4e19,04e19.svg,04e19.png,5
丞,0x4e1e,04e1e.svg,04e1e.png,6
両,0x4e21,04e21.svg,04e21.png,6
並,0x4e26,04e26.svg,04e26.png,8
丨,0x4e28,04e28.svg,04e28.png,1
个,0x4e2a,04e2a.svg,04e2a.png,3
中,0x4e2d,04e2d.svg,04e2d.png,4
丱,0x4e31,04e31.svg,04e31.png,5
串,0x4e32,04e32.svg,04e32.png,7
丶,0x4e36,04e36.svg,04e36.png,1
丸,0x4e38,04e38.svg,04e38.png,3
丹,0x4e39,04e39.svg,04e39.png,4
主,0x4e3b,04e3b.svg,04e3b.png,5
丼,0x4e3c,04e3c.svg,04e3c.png,5
丿,0x4e3f,04e3f.svg,04e3f.png,1
乂,0x4e42,04e42.svg,04e42.png,2
乃,0x4e43,04e43.svg,04e43.png,2
久,0x4e45,04e45.svg,04e45.png,3
之,0x4e4b,04e4b.svg,04e4b.png,3
乍,0x4e4d,04e4d.svg,04e4d.png,5
乎,0x4e4e,04e4e.svg,04e4e.png,5
乏,0x4e4f,04e4f.svg,04e4f.png,4
乕,0x4e55,04e55.svg,04e55.png,7
乖,0x4e56,04e56.svg,04e56.png,8
乗,0x4e57,04e57.svg,04e57.png,9
乘,0x4e58,04e58.svg,04e58.png,10
乙,0x4e59,04e59.svg,04e59.png,1
九,0x4e5d,04e5d.svg,04e5d.png,2
乞,0x4e5e,04e5e.svg,04e5e.png,3
也,0x4e5f,04e5f.svg,04e5f.png,3
乢,0x4e62,04e62.svg,04e62.png,4
乱,0x4e71,04e71.svg,04e71.png,7
乳,0x4e73,04e73.svg,04e73.png,8
乾,0x4e7e,04e7e.svg,04e7e.png,11
亀,0x4e80,04e80.svg,04e80.png,11
亂,0x4e82,04e82.svg,04e82.png,13
亅,0x4e85,04e85.svg,04e85.png,1
了,0x4e86,04e86.svg,04e86.png,2
予,0x4e88,04e88.svg,04e88.png,4
争,0x4e89,04e89.svg,04e89.png,6
亊,0x4e8a,04e8a.svg,04e8a.png,7
事,0x4e8b,04e8b.svg,04e8b.png,8
二,0x4e8c,04e8c.svg,04e8c.png,2
于,0x4e8e,04e8e.svg,04e8e.png,3
云,0x4e91,04e91.svg,04e91.png,4
互,0x4e92,04e92.svg,04e92.png,4
五,0x4e94,04e94.svg,04e94.png,4
井,0x4e95,04e95.svg,04e95.png,4
亘,0x4e98,04e98.svg,04e98.png,6
亙,0x4e99,04e99.svg,04e99.png,6
些,0x4e9b,04e9b.svg,04e9b.png,8
亜,0x4e9c,04e9c.svg,04e9c.png,7
亞,0x4e9e,04e9e.svg,04e9e.png,8
亟,0x4e9f,04e9f.svg,04e9f.png,8
亠,0x4ea0,04ea0.svg,04ea0.png,2
亡,0x4ea1,04ea1.svg,04ea1.png,3
亢,0x4ea2,04ea2.svg,04ea2.png,4
交,0x4ea4,04ea4.svg,04ea4.png,6
亥,0x4ea5,04ea5.svg,04ea5.png,6
亦,0x4ea6,04ea6.svg,04ea6.png,6
亨,0x4ea8,04ea8.svg,04ea8.png,7
享,0x4eab,04eab.svg,04eab.png,8
京,0x4eac,04eac.svg,04eac.png,8
亭,0x4ead,04ead.svg,04ead.png,9
亮,0x4eae,04eae.svg,04eae.png,9
亰,0x4eb0,04eb0.svg,04eb0.png,9
亳,0x4eb3,04eb3.svg,04eb3.png,10
亶,0x4eb6,04eb6.svg,04eb6.png,13
人,0x4eba,04eba.svg,04eba.png,2
亻,0x4ebb,04ebb.svg,04ebb.png,2
什,0x4ec0,04ec0.svg,04ec0.png,4
仁,0x4ec1,04ec1.svg,04ec1.png,4
仂,0x4ec2,04ec2.svg,04ec2.png,4
仄,0x4ec4,04ec4.svg,04ec4.png,4
仆,0x4ec6,04ec6.svg,04ec6.png,4
仇,0x4ec7,04ec7.svg,04ec7.png,4
今,0x4eca,04eca.svg,04eca.png,4
介,0x4ecb,04ecb.svg,04ecb.png,4
仍,0x4ecd,04ecd.svg,04ecd.png,4
从,0x4ece,04ece.svg,04ece.png,4
仏,0x4ecf,04ecf.svg,04ecf.png,4
仔,0x4ed4,04ed4.svg,04ed4.png,5
仕,0x4ed5,04ed5.svg,04ed5.png,5
他,0x4ed6,04ed6.svg,04ed6.png,5
仗,0x4ed7,04ed7.svg,04ed7.png,5
付,0x4ed8,04ed8.svg,04ed8.png,5
仙,0x4ed9,04ed9.svg,04ed9.png,5
仝,0x4edd,04edd.svg,04edd.png,5
仞,0x4ede,04ede.svg,04ede.png,5
仟,0x4edf,04edf.svg,04edf.png,5
代,0x4ee3,04ee3.svg,04ee3.png,5
令,0x4ee4,04ee4.svg,04ee4.png,5
以,0x4ee5,04ee5.svg,04ee5.png,5
仭,0x4eed,04eed.svg,04eed.png,5
仮,0x4eee,04eee.svg,04eee.png,6
仰,0x4ef0,04ef0.svg,04ef0.png,6
仲,0x4ef2,04ef2.svg,04ef2.png,6
件,0x4ef6,04ef6.svg,04ef6.png,6
价,0x4ef7,04ef7.svg,04ef7.png,6
任,0x4efb,04efb.svg,04efb.png,6
企,0x4f01,04f01.svg,04f01.png,6
伉,0x4f09,04f09.svg,04f09.png,6
伊,0x4f0a,04f0a.svg,04f0a.png,6
伍,0x4f0d,04f0d.svg,04f0d.png,6
伎,0x4f0e,04f0e.svg,04f0e.png,6
伏,0x4f0f,04f0f.svg,04f0f.png,6
伐,0x4f10,04f10.svg,04f10.png,6
休,0x4f11,04f11.svg,04f11.png,6
会,0x4f1a,04f1a.svg,04f1a.png,6
伜,0x4f1c,04f1c.svg,04f1c.png,6
伝,0x4f1d,04f1d.svg,04f1d.png,6
伯,0x4f2f,04f2f.svg,04f2f.png,7
估,0x4f30,04f30.svg,04f30.png,7
伴,0x4f34,04f34.svg,04f34.png,7
伶,0x4f36,04f36.svg,04f36.png,7
伸,0x4f38,04f38.svg,04f38.png,7
伺,0x4f3a,04f3a.svg,04f3a.png,7
似,0x4f3c,04f3c.svg,04f3c.png,7
伽,0x4f3d,04f3d.svg,04f3d.png,7
佃,0x4f43,04f43.svg,04f43.png,7
但,0x4f46,04f46.svg,04f46.png,7
佇,0x4f47,04f47.svg,04f47.png,7
位,0x4f4d,04f4d.svg,04f4d.png,7
低,0x4f4e,04f4e.svg,04f4e.png,7
住,0x4f4f,04f4f.svg,04f4f.png,7
佐,0x4f50,04f50.svg,04f50.png,7
佑,0x4f51,04f51.svg,04f51.png,7
体,0x4f53,04f53.svg,04f53.png,7
何,0x4f55,04f55.svg,04f55.png,7
佗,0x4f57,04f57.svg,04f57.png,7
余,0x4f59,04f59.svg,04f59.png,7
佚,0x4f5a,04f5a.svg,04f5a.png,7
佛,0x4f5b,04f5b.svg,04f5b.png,7
作,0x4f5c,04f5c.svg,04f5c.png,7
佝,0x4f5d,04f5d.svg,04f5d.png,7
佞,0x4f5e,04f5e.svg,04f5e.png,7
佩,0x4f69,04f69.svg,04f69.png,8
佯,0x4f6f,04f6f.svg,04f6f.png,8
佰,0x4f70,04f70.svg,04f70.png,8
佳,0x4f73,04f73.svg,04f73.png,8
併,0x4f75,04f75.svg,04f75.png,8
佶,0x4f76,04f76.svg,04f76.png,8
佻,0x4f7b,04f7b.svg,04f7b.png,8
佼,0x4f7c,04f7c.svg,04f7c.png,8
使,0x4f7f,04f7f.svg,04f7f.png,8
侃,0x4f83,04f83.svg,04f83.png,8
來,0x4f86,04f86.svg,04f86.png,8
侈,0x4f88,04f88.svg,04f88.png,8
例,0x4f8b,04f8b.svg,04f8b.png,8
侍,0x4f8d,04f8d.svg,04f8d.png,8
侏,0x4f8f,04f8f.svg,04f8f.png,8
侑,0x4f91,04f91.svg,04f91.png,8
侖,0x4f96,04f96.svg,04f96.png,8
侘,0x4f98,04f98.svg,04f98.png,8
供,0x4f9b,04f9b.svg,04f9b.png,8
依,0x4f9d,04f9d.svg,04f9d.png,8
侠,0x4fa0,04fa0.svg,04fa0.png,8
価,0x4fa1,04fa1.svg,04fa1.png,8
侫,0x4fab,04fab.svg,04fab.png,8
侭,0x4fad,04fad.svg,04fad.png,8
侮,0x4fae,04fae.svg,04fae.png,8
侯,0x4faf,04faf.svg,04faf.png,9
侵,0x4fb5,04fb5.svg,04fb5.png,9
侶,0x4fb6,04fb6.svg,04fb6.png,9
便,0x4fbf,04fbf.svg,04fbf.png,9
係,0x4fc2,04fc2.svg,04fc2.png,9
促,0x4fc3,04fc3.svg,04fc3.png,9
俄,0x4fc4,04fc4.svg,04fc4.png,9
俊,0x4fca,04fca.svg,04fca.png,9
俎,0x4fce,04fce.svg,04fce.png,9
俐,0x4fd0,04fd0.svg,04fd0.png,9
俑,0x4fd1,04fd1.svg,04fd1.png,9
俔,0x4fd4,04fd4.svg,04fd4.png,9
俗,0x4fd7,04fd7.svg,04fd7.png,9
俘,0x4fd8,04fd8.svg,04fd8.png,9
俚,0x4fda,04fda.svg,04fda.png,9
俛,0x4fdb,04fdb.svg,04fdb.png,9
保,0x4fdd,04fdd.svg,04fdd.png,9
俟,0x4fdf,04fdf.svg,04fdf.png,9
信,0x4fe1,04fe1.svg,04fe1.png,9
俣,0x4fe3,04fe3.svg,04fe3.png,9
俤,0x4fe4,04fe4.svg,04fe4.png,9
俥,0x4fe5,04fe5.svg,04fe5.png,9
修,0x4fee,04fee.svg,04fee.png,10
俯,0x4fef,04fef.svg,04fef.png,10
俱,0x4ff1,04ff1.svg,04ff1.png,10
俳,0x4ff3,04ff3.svg,04ff3.png,10
俵,0x4ff5,04ff5.svg,04ff5.png,10
俶,0x4ff6,04ff6.svg,04ff6.png,10
俸,0x4ff8,04ff8.svg,04ff8.png,10
俺,0x4ffa,04ffa.svg,04ffa.png,10
俾,0x4ffe,04ffe.svg,04ffe.png,10
倅,0x5005,05005.svg,05005.png,10
倆,0x5006,05006.svg,05006.png,10
倉,0x5009,05009.svg,05009.png,10
個,0x500b,0500b.svg,0500b.png,10
倍,0x500d,0500d.svg,0500d.png,10
倏,0x500f,0500f.svg,0500f.png,11
們,0x5011,05011.svg,05011.png,10
倒,0x5012,05012.svg,05012.png,10
倔,0x5014,05014.svg,05014.png,10
倖,0x5016,05016.svg,05016.png,10
候,0x5019,05019.svg,05019.png,10
倚,0x501a,0501a.svg,0501a.png,10
借,0x501f,0501f.svg,0501f.png,10
倡,0x5021,05021.svg,05021.png,10
倣,0x5023,05023.svg,05023.png,10
値,0x5024,05024.svg,05024.png,10
倥,0x5025,05025.svg,05025.png,10
倦,0x5026,05026.svg,05026.png,10
倨,0x5028,05028.svg,05028.png,10
倩,0x5029,05029.svg,05029.png,10
倪,0x502a,0502a.svg,0502a.png,10
倫,0x502b,0502b.svg,0502b.png,10
倬,0x502c,0502c.svg,0502c.png,10
倭,0x502d,0502d.svg,0502d.png,10
倶,0x5036,05036.svg,05036.png,10
倹,0x5039,05039.svg,05039.png,10
偃,0x5043,05043.svg,05043.png,11
假,0x5047,05047.svg,05047.png,11
偈,0x5048,05048.svg,05048.png,11
偉,0x5049,05049.svg,05049.png,12
偏,0x504f,0504f.svg,0504f.png,11
偐,0x5050,05050.svg,05050.png,11
偕,0x5055,05055.svg,05055.png,11
偖,0x5056,05056.svg,05056.png,11
做,0x505a,0505a.svg,0505a.png,11
停,0x505c,0505c.svg,0505c.png,11
健,0x5065,05065.svg,05065.png,11
偬,0x506c,0506c.svg,0506c.png,11
偲,0x5072,05072.svg,05072.png,11
側,0x5074,05074.svg,05074.png,11
偵,0x5075,05075.svg,05075.png,11
偶,0x5076,05076.svg,05076.png,11
偸,0x5078,05078.svg,05078.png,11
偽,0x507d,0507d.svg,0507d.png,11
傀,0x5080,05080.svg,05080.png,12
傅,0x5085,05085.svg,05085.png,12
傍,0x508d,0508d.svg,0508d.png,12
傑,0x5091,05091.svg,05091.png,13
傘,0x5098,05098.svg,05098.png,12
備,0x5099,05099.svg,05099.png,12
傚,0x509a,0509a.svg,0509a.png,12
催,0x50ac,050ac.svg,050ac.png,13
傭,0x50ad,050ad.svg,050ad.png,13
傲,0x50b2,050b2.svg,050b2.png,13
傳,0x50b3,050b3.svg,050b3.png,13
傴,0x50b4,050b4.svg,050b4.png,13
債,0x50b5,050b5.svg,050b5.png,13
傷,0x50b7,050b7.svg,050b7.png,13
傾,0x50be,050be.svg,050be.png,13
僂,0x50c2,050c2.svg,050c2.png,13
僅,0x50c5,050c5.svg,050c5.png,13
僉,0x50c9,050c9.svg,050c9.png,13
僊,0x50ca,050ca.svg,050ca.png,14
働,0x50cd,050cd.svg,050cd.png,13
像,0x50cf,050cf.svg,050cf.png,14
僑,0x50d1,050d1.svg,050d1.png,14
僕,0x50d5,050d5.svg,050d5.png,14
僖,0x50d6,050d6.svg,050d6.png,14
僚,0x50da,050da.svg,050da.png,14
僞,0x50de,050de.svg,050de.png,14
僣,0x50e3,050e3.svg,050e3.png,14
僥,0x50e5,050e5.svg,050e5.png,14
僧,0x50e7,050e7.svg,050e7.png,13
僭,0x50ed,050ed.svg,050ed.png,14
僮,0x50ee,050ee.svg,050ee.png,14
僵,0x50f5,050f5.svg,050f5.png,15
價,0x50f9,050f9.svg,050f9.png,15
僻,0x50fb,050fb.svg,050fb.png,15
儀,0x5100,05100.svg,05100.png,15
儁,0x5101,05101.svg,05101.png,14
儂,0x5102,05102.svg,05102.png,15
億,0x5104,05104.svg,05104.png,15
儉,0x5109,05109.svg,05109.png,15
儒,0x5112,05112.svg,05112.png,16
儔,0x5114,05114.svg,05114.png,16
儕,0x5115,05115.svg,05115.png,16
儖,0x5116,05116.svg,05116.png,17
儘,0x5118,05118.svg,05118.png,16
儚,0x511a,0511a.svg,0511a.png,15
償,0x511f,0511f.svg,0511f.png,17
儡,0x5121,05121.svg,05121.png,17
優,0x512a,0512a.svg,0512a.png,17
儲,0x5132,05132.svg,05132.png,18
儷,0x5137,05137.svg,05137.png,21
儺,0x513a,0513a.svg,0513a.png,21
儻,0x513b,0513b.svg,0513b.png,22
儼,0x513c,0513c.svg,0513c.png,22
儿,0x513f,0513f.svg,0513f.png,2
兀,0x5140,05140.svg,05140.png,3
允,0x5141,05141.svg,05141.png,4
元,0x5143,05143.svg,05143.png,4
兄,0x5144,05144.svg,05144.png,5
充,0x5145,05145.svg,05145.png,6
兆,0x5146,05146.svg,05146.png,6
兇,0x5147,05147.svg,05147.png,6
先,0x5148,05148.svg,05148.png,6
光,0x5149,05149.svg,05149.png,6
克,0x514b,0514b.svg,0514b.png,7
兌,0x514c,0514c.svg,0514c.png,7
免,0x514d,0514d.svg,0514d.png,8
兎,0x514e,0514e.svg,0514e.png,7
児,0x5150,05150.svg,05150.png,7
兒,0x5152,05152.svg,05152.png,8
兔,0x5154,05154.svg,05154.png,8
党,0x515a,0515a.svg,0515a.png,10
兜,0x515c,0515c.svg,0515c.png,11
兢,0x5162,05162.svg,05162.png,14
入,0x5165,05165.svg,05165.png,2
全,0x5168,05168.svg,05168.png,6
兩,0x5169,05169.svg,05169.png,8
兪,0x516a,0516a.svg,0516a.png,9
八,0x516b,0516b.svg,0516b.png,2
公,0x516c,0516c.svg,0516c.png,4
六,0x516d,0516d.svg,0516d.png,4
兮,0x516e,0516e.svg,0516e.png,4
共,0x5171,05171.svg,05171.png,6
关,0x5173,05173.svg,05173.png,6
兵,0x5175,05175.svg,05175.png,7
其,0x5176,05176.svg,05176.png,8
具,0x5177,05177.svg,05177.png,8
典,0x5178,05178.svg,05178.png,8
兼,0x517c,0517c.svg,0517c.png,10
冀,0x5180,05180.svg,05180.png,16
冂,0x5182,05182.svg,05182.png,2
内,0x5185,05185.svg,05185.png,4
円,0x5186,05186.svg,05186.png,4
冉,0x5189,05189.svg,05189.png,5
冊,0x518a,0518a.svg,0518a.png,5
册,0x518c,0518c.svg,0518c.png,5
再,0x518d,0518d.svg,0518d.png,6
冏,0x518f,0518f.svg,0518f.png,7
冐,0x5190,05190.svg,05190.png,8
冑,0x5191,05191.svg,05191.png,9
冒,0x5192,05192.svg,05192.png,9
冓,0x5193,05193.svg,05193.png,10
冕,0x5195,05195.svg,05195.png,11
冖,0x5196,05196.svg,05196.png,2
冗,0x5197,05197.svg,05197.png,4
写,0x5199,05199.svg,05199.png,5
冠,0x51a0,051a0.svg,051a0.png,9
冢,0x51a2,051a2.svg,051a2.png,10
冤,0x51a4,051a4.svg,051a4.png,10
冥,0x51a5,051a5.svg,051a5.png,10
冦,0x51a6,051a6.svg,051a6.png,10
冨,0x51a8,051a8.svg,051a8.png,11
冩,0x51a9,051a9.svg,051a9.png,14
冪,0x51aa,051aa.svg,051aa.png,15
冫,0x51ab,051ab.svg,051ab.png,2
冬,0x51ac,051ac.svg,051ac.png,5
冰,0x51b0,051b0.svg,051b0.png,6
冱,0x51b1,051b1.svg,051b1.png,6
冲,0x51b2,051b2.svg,051b2.png,6
决,0x51b3,051b3.svg,051b3.png,6
冴,0x51b4,051b4.svg,051b4.png,7
况,0x51b5,051b5.svg,051b5.png,7
冶,0x51b6,051b6.svg,051b6.png,7
冷,0x51b7,051b7.svg,051b7.png,7
冽,0x51bd,051bd.svg,051bd.png,8
凄,0x51c4,051c4.svg,051c4.png,10
凅,0x51c5,051c5.svg,051c5.png,10
准,0x51c6,051c6.svg,051c6.png,10
凉,0x51c9,051c9.svg,051c9.png,10
凋,0x51cb,051cb.svg,051cb.png,10
凌,0x51cc,051cc.svg,051cc.png,10
凍,0x51cd,051cd.svg,051cd.png,10
凖,0x51d6,051d6.svg,051d6.png,12
凛,0x51db,051db.svg,051db.png,15
凜,0x51dc,051dc.svg,051dc.png,15
凝,0x51dd,051dd.svg,051dd.png,16
几,0x51e0,051e0.svg,051e0.png,2
凡,0x51e1,051e1.svg,051e1.png,3
処,0x51e6,051e6.svg,051e6.png,5
凧,0x51e7,051e7.svg,051e7.png,5
凩,0x51e9,051e9.svg,051e9.png,6
凪,0x51ea,051ea.svg,051ea.png,6
凭,0x51ed,051ed.svg,051ed.png,8
凰,0x51f0,051f0.svg,051f0.png,11
凱,0x51f1,051f1.svg,051f1.png,12
凵,0x51f5,051f5.svg,051f5.png,2
凶,0x51f6,051f6.svg,051f6.png,4
凸,0x51f8,051f8.svg,051f8.png,5
凹,0x51f9,051f9.svg,051f9.png,5
出,0x51fa,051fa.svg,051fa.png,5
