kana,unicode,svgFile,pngFile,strokeCount
樫,0x6a2b,06a2b.svg,06a2b.png,16
樮,0x6a2e,06a2e.svg,06a2e.png,14
樵,0x6a35,06a35.svg,06a35.png,16
樶,0x6a36,06a36.svg,06a36.png,16
樸,0x6a38,06a38.svg,06a38.png,16
樹,0x6a39,06a39.svg,06a39.png,16
樺,0x6a3a,06a3a.svg,06a3a.png,14
樽,0x6a3d,06a3d.svg,06a3d.png,16
橄,0x6a44,06a44.svg,06a44.png,16
橇,0x6a47,06a47.svg,06a47.png,16
橈,0x6a48,06a48.svg,06a48.png,16
橋,0x6a4b,06a4b.svg,06a4b.png,16
橘,0x6a58,06a58.svg,06a58.png,16
橙,0x6a59,06a59.svg,06a59.png,16
機,0x6a5f,06a5f.svg,06a5f.png,16
橡,0x6a61,06a61.svg,06a61.png,16
橢,0x6a62,06a62.svg,06a62.png,16
橦,0x6a66,06a66.svg,06a66.png,16
橲,0x6a72,06a72.svg,06a72.png,16
橸,0x6a78,06a78.svg,06a78.png,16
橿,0x6a7f,06a7f.svg,06a7f.png,17
檀,0x6a80,06a80.svg,06a80.png,17
檄,0x6a84,06a84.svg,06a84.png,17
檍,0x6a8d,06a8d.svg,06a8d.png,17
檎,0x6a8e,06a8e.svg,06a8e.png,17
檐,0x6a90,06a90.svg,06a90.png,17
檗,0x6a97,06a97.svg,06a97.png,17
檜,0x6a9c,06a9c.svg,06a9c.png,17
檠,0x6aa0,06aa0.svg,06aa0.png,16
檢,0x6aa2,06aa2.svg,06aa2.png,17
檣,0x6aa3,06aa3.svg,06aa3.png,17
檪,0x6aaa,06aaa.svg,06aaa.png,17
檬,0x6aac,06aac.svg,06aac.png,17
檮,0x6aae,06aae.svg,06aae.png,18
檳,0x6ab3,06ab3.svg,06ab3.png,18
檸,0x6ab8,06ab8.svg,06ab8.png,18
檻,0x6abb,06abb.svg,06abb.png,19
櫁,0x6ac1,06ac1.svg,06ac1.png,18
櫂,0x6ac2,06ac2.svg,06ac2.png,18
櫃,0x6ac3,06ac3.svg,06ac3.png,18
櫑,0x6ad1,06ad1.svg,06ad1.png,19
櫓,0x6ad3,06ad3.svg,06ad3.png,19
櫚,0x6ada,06ada.svg,06ada.png,19
櫛,0x6adb,06adb.svg,06adb.png,19
櫞,0x6ade,06ade.svg,06ade.png,19
櫟,0x6adf,06adf.svg,06adf.png,19
櫨,0x6ae8,06ae8.svg,06ae8.png,20
櫪,0x6aea,06aea.svg,06aea.png,20
櫺,0x6afa,06afa.svg,06afa.png,21
櫻,0x6afb,06afb.svg,06afb.png,21
欄,0x6b04,06b04.svg,06b04.png,20
欅,0x6b05,06b05.svg,06b05.png,21
權,0x6b0a,06b0a.svg,06b0a.png,21
欒,0x6b12,06b12.svg,06b12.png,23
欖,0x6b16,06b16.svg,06b16.png,26
欝,0x6b1d,06b1d.svg,06b1d.png,25
欟,0x6b1f,06b1f.svg,06b1f.png,28
欠,0x6b20,06b20.svg,06b20.png,4
次,0x6b21,06b21.svg,06b21.png,6
欣,0x6b23,06b23.svg,06b23.png,8
欧,0x6b27,06b27.svg,06b27.png,8
欲,0x6b32,06b32.svg,06b32.png,11
欷,0x6b37,06b37.svg,06b37.png,11
欸,0x6b38,06b38.svg,06b38.png,11
欹,0x6b39,06b39.svg,06b39.png,12
欺,0x6b3a,06b3a.svg,06b3a.png,12
欽,0x6b3d,06b3d.svg,06b3d.png,12
款,0x6b3e,06b3e.svg,06b3e.png,12
歃,0x6b43,06b43.svg,06b43.png,13
歇,0x6b47,06b47.svg,06b47.png,13
歉,0x6b49,06b49.svg,06b49.png,14
歌,0x6b4c,06b4c.svg,06b4c.png,14
歎,0x6b4e,06b4e.svg,06b4e.png,15
歐,0x6b50,06b50.svg,06b50.png,15
歓,0x6b53,06b53.svg,06b53.png,15
歔,0x6b54,06b54.svg,06b54.png,16
歙,0x6b59,06b59.svg,06b59.png,16
歛,0x6b5b,06b5b.svg,06b5b.png,17
